sector;pts_read;dts_read; NB_SAMPLES_PTS ;;;;;;;;;
382;600432;600350;294160;1225,66666666667;600432;0;600350;0;;;;
383;601901;601819;294880;1228,66666666667;601901;0;601819;0;;;;
384;603534;603452;295680;1232;603534;0;603452;0;;;;
385;605003;604921;296400;1235;605003;0;604921;0;;;;
386;606554;606472;297160;1238,16666666667;606554;0;606472;0;;;;
387;608105;608024;297920;1241,33333333333;608105;0;608023;-1;;;;
388;609656;609575;298680;1244,5;609656;0;609575;0;;;;
389;611289;611207;299480;1247,83333333333;611289;0;611207;0;;;;
390;612840;612758;300240;1251;612840;0;612758;0;;;;
391;614472;614391;301040;1254,33333333333;614472;0;614391;0;;;;
392;616187;616105;301880;1257,83333333333;616187;0;616105;0;;;;
393;617819;617738;302680;1261,16666666667;617819;0;617738;0;;;;
394;619207;619126;303360;1264;619207;0;619126;0;;;;
395;620595;620513;304040;1266,83333333333;620595;0;620513;0;;;;
396;621983;621901;304720;1269,66666666667;621983;0;621901;0;;;;
397;623370;623289;305400;1272,5;623370;0;623289;0;;;;
398;624758;624677;306080;1275,33333333333;624758;0;624677;0;;;;
399;626146;626064;306760;1278,16666666667;626146;0;626064;0;;;;
400;627615;627534;307480;1281,16666666667;627615;0;627534;0;;;;
401;629085;629003;308200;1284,16666666667;629085;0;629003;0;;;;
402;630636;630554;308960;1287,33333333333;630636;0;630554;0;;;;
403;632105;632024;309680;1290,33333333333;632105;0;632023;-1;;;;
404;633656;633575;310440;1293,5;633656;0;633575;0;;;;
405;635207;635126;311200;1296,66666666667;635207;0;635126;0;;;;
406;636758;636677;311960;1299,83333333333;636758;0;636677;0;;;;
407;638309;638228;312720;1303;638309;0;638228;0;;;;
408;639779;639697;313440;1306;639779;0;639697;0;;;;
409;641411;641330;314240;1309,33333333333;641411;0;641330;0;;;;
410;643044;642962;315040;1312,66666666667;643044;0;642962;0;;;;
411;644595;644513;315800;1315,83333333333;644595;0;644513;0;;;;
412;646228;646146;316600;1319,16666666667;646228;0;646146;0;;;;
413;647779;647697;317360;1322,33333333333;647779;0;647697;0;;;;
414;649411;649330;318160;1325,66666666667;649411;0;649330;0;;;;
415;650881;650799;318840;1328,5;650799;-82;650717;-82;;;;
416;652268;652187;319560;1331,5;652268;0;652187;0;;;;
417;653656;653575;320240;1334,33333333333;653656;0;653575;0;;;;
418;655126;655044;320960;1337,33333333333;655126;0;655044;0;;;;
419;656595;656513;321680;1340,33333333333;656595;0;656513;0;;;;
420;658146;658064;322440;1343,5;658146;0;658064;0;;;;
421;659534;659452;323120;1346,33333333333;659534;0;659452;0;;;;
422;661085;661003;323880;1349,5;661085;0;661003;0;;;;
423;662636;662554;324640;1352,66666666667;662636;0;662554;0;;;;
424;664187;664105;325400;1355,83333333333;664187;0;664105;0;;;;
425;665738;665656;326160;1359;665738;0;665656;0;;;;
426;667289;667207;326920;1362,16666666667;667289;0;667207;0;;;;
427;668840;668758;327680;1365,33333333333;668840;0;668758;0;;;;
428;670391;670309;328440;1368,5;670391;0;670309;0;;;;
429;671942;671860;329200;1371,66666666667;671942;0;671860;0;;;;
430;673493;673411;329960;1374,83333333333;673493;0;673411;0;;;;
431;675044;674962;330720;1378;675044;0;674962;0;;;;
432;676677;676595;331520;1381,33333333333;676677;0;676595;0;;;;
433;678309;678228;332320;1384,66666666667;678309;0;678228;0;;;;
434;679942;679860;333120;1388;679942;0;679860;0;;;;
435;681493;681411;333880;1391,16666666667;681493;0;681411;0;;;;
436;682799;682717;334520;1393,83333333333;682799;0;682717;0;;;;
437;684268;684187;335240;1396,83333333333;684268;0;684187;0;;;;
438;685738;685656;335960;1399,83333333333;685738;0;685656;0;;;;
439;687207;687126;336680;1402,83333333333;687207;0;687126;0;;;;
440;688677;688595;337400;1405,83333333333;688677;0;688595;0;;;;
441;690228;690146;338160;1409;690228;0;690146;0;;;;
