PKT_POS_PTS ; NB_SAMPLES_PTS ; PKT_POS_SCR; NB_SAMPLES_SCR; RANK 
902304 ; 345000 ; 902208 ; 344960 ; 450 
904236 ; 345760 ; 904142 ; 345720 ; 451 
906252 ; 346560 ; 906160 ; 346520 ; 452 
908290 ; 347360 ; 908204 ; 347320 ; 453 
910418 ; 348200 ; 910248 ; 348160 ; 454 
912300 ; 348960 ; 912208 ; 348920 ; 455 
914364 ; 349720 ; 914258 ; 349680 ; 456 
916292 ; 350400 ; 916186 ; 350360 ; 457 
918342 ; 351120 ; 918240 ; 351080 ; 458 
920302 ; 351840 ; 920202 ; 351800 ; 459 
922330 ; 352600 ; 922232 ; 352560 ; 460 
924412 ; 353360 ; 924238 ; 353320 ; 461 
926376 ; 354120 ; 926282 ; 354080 ; 462 
928308 ; 354880 ; 928212 ; 354840 ; 463 
930322 ; 355640 ; 930228 ; 355600 ; 464 
932334 ; 356440 ; 932242 ; 356400 ; 465 
934328 ; 357200 ; 934160 ; 357160 ; 466 
936384 ; 358000 ; 936288 ; 357960 ; 467 
938364 ; 358760 ; 938266 ; 358720 ; 468 
940412 ; 359520 ; 940316 ; 359480 ; 469 
942354 ; 360280 ; 942258 ; 360240 ; 470 
944452 ; 361080 ; 944282 ; 361040 ; 471 
946342 ; 361840 ; 946248 ; 361800 ; 472 
948460 ; 362680 ; 948296 ; 362640 ; 473 
950394 ; 363480 ; 950302 ; 363440 ; 474 
952484 ; 364280 ; 952312 ; 364240 ; 475 
954394 ; 364960 ; 954286 ; 364920 ; 476 
956422 ; 365640 ; 956312 ; 365600 ; 477 
958444 ; 366320 ; 958338 ; 366280 ; 478 
960442 ; 367000 ; 960334 ; 366960 ; 479 
962426 ; 367680 ; 962318 ; 367640 ; 480 
964448 ; 368400 ; 964346 ; 368360 ; 481 
966516 ; 369120 ; 966336 ; 369080 ; 482 
968494 ; 369840 ; 968392 ; 369800 ; 483 
970454 ; 370560 ; 970354 ; 370520 ; 484 
972488 ; 371320 ; 972390 ; 371280 ; 485 
974498 ; 372040 ; 974398 ; 372000 ; 486 
976426 ; 372760 ; 976328 ; 372720 ; 487 
978446 ; 373520 ; 978348 ; 373480 ; 488 
980426 ; 374240 ; 980254 ; 374200 ; 489 
982504 ; 375040 ; 982408 ; 375000 ; 490 
984492 ; 375800 ; 984396 ; 375760 ; 491 
986454 ; 376520 ; 986280 ; 376480 ; 492 
988512 ; 377320 ; 988418 ; 377280 ; 493 
990608 ; 378120 ; 990438 ; 378080 ; 494 
992500 ; 378880 ; 992408 ; 378840 ; 495 
994484 ; 379680 ; 994390 ; 379640 ; 496 
996540 ; 380400 ; 996432 ; 380360 ; 497 
998478 ; 381080 ; 998374 ; 381040 ; 498 
1000510 ; 381800 ; 1000406 ; 381760 ; 499 
1002518 ; 382520 ; 1002414 ; 382480 ; 500 
1004504 ; 383240 ; 1004402 ; 383200 ; 501 
1006546 ; 383960 ; 1006444 ; 383920 ; 502 
1008584 ; 384720 ; 1008486 ; 384680 ; 503 
1010512 ; 385440 ; 1010414 ; 385400 ; 504 
