PKT_POS_PTS ; NB_SAMPLES_PTS ; PKT_POS_SRC; NB_SAMPLES_SRC; RANK 
352977 ; 124080 ; 352852 ; 124040 ; 176 
354897 ; 124640 ; 354774 ; 124600 ; 177 
356961 ; 125240 ; 356754 ; 125200 ; 178 
358895 ; 125840 ; 358764 ; 125800 ; 179 
360921 ; 126440 ; 360800 ; 126400 ; 180 
362943 ; 127040 ; 362814 ; 127000 ; 181 
364955 ; 127640 ; 364826 ; 127600 ; 182 
366933 ; 128240 ; 366810 ; 128200 ; 183 
368925 ; 128840 ; 368810 ; 128800 ; 184 
370917 ; 129440 ; 370794 ; 129400 ; 185 
372909 ; 130080 ; 372784 ; 130040 ; 186 
374945 ; 130720 ; 374830 ; 130680 ; 187 
376997 ; 131360 ; 376886 ; 131320 ; 188 
378969 ; 132000 ; 378840 ; 131960 ; 189 
380999 ; 132640 ; 380800 ; 132600 ; 190 
382953 ; 133280 ; 382748 ; 133240 ; 191 
384945 ; 133880 ; 384810 ; 133840 ; 192 
387027 ; 134480 ; 386906 ; 134440 ; 193 
389019 ; 135040 ; 388890 ; 135000 ; 194 
390991 ; 135600 ; 390856 ; 135560 ; 195 
393001 ; 136200 ; 392874 ; 136160 ; 196 
395053 ; 136800 ; 394846 ; 136760 ; 197 
396995 ; 137400 ; 396870 ; 137360 ; 198 
399025 ; 138000 ; 398902 ; 137960 ; 199 
401053 ; 138600 ; 400934 ; 138560 ; 200 
403085 ; 139200 ; 402956 ; 139160 ; 201 
405049 ; 139800 ; 404930 ; 139760 ; 202 
406995 ; 140400 ; 406874 ; 140360 ; 203 
409049 ; 141040 ; 408928 ; 141000 ; 204 
411023 ; 141640 ; 410814 ; 141600 ; 205 
413035 ; 142280 ; 412834 ; 142240 ; 206 
415093 ; 142920 ; 414890 ; 142880 ; 207 
417113 ; 143560 ; 416918 ; 143520 ; 208 
419195 ; 144200 ; 418996 ; 144160 ; 209 
421055 ; 144800 ; 420934 ; 144760 ; 210 
423053 ; 145440 ; 422936 ; 145400 ; 211 
425223 ; 146120 ; 425030 ; 146080 ; 212 
427143 ; 146760 ; 426944 ; 146720 ; 213 
429203 ; 147440 ; 429012 ; 147400 ; 214 
431153 ; 148080 ; 430956 ; 148040 ; 215 
433165 ; 148720 ; 432956 ; 148680 ; 216 
435179 ; 149320 ; 435054 ; 149280 ; 217 
437115 ; 149880 ; 436988 ; 149840 ; 218 
439123 ; 150480 ; 438994 ; 150440 ; 219 
441155 ; 151080 ; 441030 ; 151040 ; 220 
443171 ; 151680 ; 443048 ; 151640 ; 221 
445205 ; 152280 ; 445076 ; 152240 ; 222 
447131 ; 152880 ; 446938 ; 152840 ; 223 
449133 ; 153520 ; 448934 ; 153480 ; 224 
451149 ; 154160 ; 450954 ; 154120 ; 225 
453117 ; 154800 ; 453000 ; 154760 ; 226 
455289 ; 155480 ; 455094 ; 155440 ; 227 
457311 ; 156120 ; 457114 ; 156080 ; 228 
459139 ; 156720 ; 459022 ; 156680 ; 229 
461171 ; 157360 ; 461052 ; 157320 ; 230 
463247 ; 158000 ; 463120 ; 157960 ; 231 
465145 ; 158560 ; 465016 ; 158520 ; 232 
467195 ; 159200 ; 467082 ; 159160 ; 233 
469235 ; 159840 ; 469118 ; 159800 ; 234 
471255 ; 160480 ; 471142 ; 160440 ; 235 
473229 ; 161120 ; 473114 ; 161080 ; 236 
475245 ; 161800 ; 475128 ; 161760 ; 237 
477191 ; 162440 ; 477076 ; 162400 ; 238 
479197 ; 163160 ; 479106 ; 163120 ; 239 
481329 ; 163840 ; 481130 ; 163800 ; 240 
