PKT_POS_PTS ; NB_SAMPLES_PTS ; PKT_POS_SCR; NB_SAMPLES_SCR; RANK 
1118778 ; 542880 ; 1118628 ; 542840 ; 558 
1120916 ; 543920 ; 1120764 ; 543880 ; 559 
1122782 ; 544720 ; 1122458 ; 544680 ; 560 
1124904 ; 545760 ; 1124758 ; 545720 ; 561 
1126886 ; 546640 ; 1126578 ; 546600 ; 562 
1128858 ; 547600 ; 1128706 ; 547560 ; 563 
1130972 ; 548560 ; 1130658 ; 548520 ; 564 
1132926 ; 549520 ; 1132778 ; 549480 ; 565 
1135012 ; 550480 ; 1134702 ; 550440 ; 566 
1136906 ; 551440 ; 1136766 ; 551400 ; 567 
1138918 ; 552400 ; 1138612 ; 552360 ; 568 
1140926 ; 553440 ; 1140786 ; 553400 ; 569 
1142934 ; 554400 ; 1142788 ; 554360 ; 570 
1144904 ; 555440 ; 1144764 ; 555400 ; 571 
1146896 ; 556400 ; 1146754 ; 556360 ; 572 
1148878 ; 557440 ; 1148730 ; 557400 ; 573 
1150902 ; 558400 ; 1150764 ; 558360 ; 574 
1152988 ; 559360 ; 1152820 ; 559320 ; 575 
1155000 ; 560160 ; 1154832 ; 560120 ; 576 
1156990 ; 561040 ; 1156834 ; 561000 ; 577 
